budget_fiscal_year,department_name,account,account_name,total_expenditures,account group name
2012,Non-Departmental - General City Purposes,214,South Bay Cities Association,34399.00,Special
2012,Non-Departmental - General City Purposes,268,San Fernando Valley Council Of Governments,20000.00,Special
2012,Non-Departmental - General City Purposes,276,Settlement Adjustment Processing,26687.64,Special
2012,Non-Departmental - General City Purposes,306,Official Visits Of Dignitaries,35238.63,Special
2012,Non-Departmental - General City Purposes,501,Official Notices,541275.78,Special
2012,Non-Departmental - General City Purposes,506,Annual City Audit/Single Audit,1695070.00,Special
2012,Non-Departmental - General City Purposes,507,City/County Native American Indian Commission,47000.00,Special
2012,Non-Departmental - General City Purposes,508,County Service--Massage Parlor Regulation,21367.00,Special
2012,Non-Departmental - General City Purposes,509,Local Agency Formation Commission,130873.58,Special
2012,Non-Departmental - General City Purposes,00050Z,L.A.'S Best,1865722.00,Special
2012,Non-Departmental - General City Purposes,510,Medicare Contributions,35770138.70,Special
2012,Non-Departmental - General City Purposes,516,State Annexation Fees,33.00,Special
2012,Non-Departmental - General City Purposes,522,Clean And Green Job Program,,Special
2012,Non-Departmental - General City Purposes,556,International Visitors Council Of Los Angeles,40000.00,Special
2012,Non-Departmental - General City Purposes,557,Local Government Commission,600.00,Special
2012,Non-Departmental - General City Purposes,570,Social Security Contributions,974884.94,Special
2012,Non-Departmental - General City Purposes,577,Pensions Savings Plans,1439929.36,Special
2012,Non-Departmental - General City Purposes,595,City Volunteer Bureau,,Special
2012,Non-Departmental - General City Purposes,0005AA,Office Of Small Business Services,,Special
2012,Non-Departmental - General City Purposes,0005AB,Downtown On Ice And Festival Of Lights,114750.00,Special
2012,Non-Departmental - General City Purposes,0005AG,Home Delivered Meals For Seniors,,Special
2012,Non-Departmental - General City Purposes,0005AH,Latino Film Festival,36450.00,Special
2012,Non-Departmental - General City Purposes,605,La Shares',300000.00,Special
2012,Non-Departmental - General City Purposes,612,Adult Day Care Centers,,Special
2012,Non-Departmental - General City Purposes,701,Community Services District 1,107914.29,Special
2012,Non-Departmental - General City Purposes,702,Community Services District 2,2069.18,Special
2012,Non-Departmental - General City Purposes,703,Community Services District 3,59600.00,Special
2012,Non-Departmental - General City Purposes,704,Community Services District 4,107205.77,Special
2012,Non-Departmental - General City Purposes,705,Community Services District 5,5763.21,Special
2012,Non-Departmental - General City Purposes,706,Community Services District 6,119495.65,Special
2012,Non-Departmental - General City Purposes,707,Community Services District 7,76978.45,Special
2012,Non-Departmental - General City Purposes,708,Community Services District 8,33450.00,Special
2012,Non-Departmental - General City Purposes,709,Community Services District 9,66867.59,Special
2012,Non-Departmental - General City Purposes,710,Community Services District 10,58040.50,Special
2012,Non-Departmental - General City Purposes,711,Community Services District 11,16621.04,Special
2012,Non-Departmental - General City Purposes,712,Community Services District 12,24766.00,Special
2012,Non-Departmental - General City Purposes,713,Community Services District 13,53742.86,Special
2012,Non-Departmental - General City Purposes,714,Community Services District 14,77926.18,Special
2012,Non-Departmental - General City Purposes,715,Community Services District 15,5500.00,Special
2012,Non-Departmental - General City Purposes,825,Los Angeles Neighborhood Land Trust,,Special
2012,Non-Departmental - General City Purposes,826,Homeless Shelter Program,,Special
2012,Non-Departmental - General City Purposes,828,Congregate Meals For Seniors,,Special
2012,Non-Departmental - General City Purposes,829,Domestic Abuse Response Teams,458625.01,Special
2012,Non-Departmental - General City Purposes,832,Heritage Month Celebration & Special Events,278002.75,Special
2012,Non-Departmental - General City Purposes,835,Office Of International Trade,,Special
2012,Non-Departmental - General City Purposes,839,Westside Cities Council Of Governments,20000.00,Special
2012,Non-Departmental - General City Purposes,843,Financial Management System Replacement,,Special
2012,Non-Departmental - General City Purposes,844,Learn And Earn Program,,Special
2012,Non-Departmental - General City Purposes,845,Pan African Film And Arts Festival,36450.00,Special
2012,Non-Departmental - General City Purposes,849,At The Park After Dark,,Special
2012,Non-Departmental - General City Purposes,855,Solid Waste Fee Lifeline Rate Program,5240176.00,Special
2012,Non-Departmental - General City Purposes,856,Solid Waste Fee Reimbursement,1524131.00,Special
2012,Non-Departmental - General City Purposes,857,Special Events Fee Subsidy-Citywide,63666.68,Special
2012,Non-Departmental - General City Purposes,858,Cd 1 Council Fee Subsidy Acct,978.15,Special
2012,Non-Departmental - General City Purposes,859,Cd 2 Council Fee Subsidy Acct,4027.00,Special
2012,Non-Departmental - General City Purposes,860,Cd 3 Council Fee Subsidy Acct,,Special
2012,Non-Departmental - General City Purposes,861,Cd 4 Council Fee Subsidy Acct,,Special
2012,Non-Departmental - General City Purposes,98,El Grito,,Special
2012,Non-Departmental - General City Purposes,862,Cd 5 Council Fee Subsidy Acct,,Special
2012,Non-Departmental - General City Purposes,863,Cd 6 Council Fee Subsidy Acct,2741.22,Special
2012,Non-Departmental - General City Purposes,864,Cd 7 Council Fee Subsidy Acct,,Special
2012,Non-Departmental - General City Purposes,865,Cd 8 Council Fee Subsidy Acct,2785.21,Special
2012,Non-Departmental - General City Purposes,866,Cd 9 Council Fee Subsidy Acct,4288.20,Special
2012,Non-Departmental - General City Purposes,867,Cd 10 Council Fee Subsidy Acct,,Special
2012,Non-Departmental - General City Purposes,868,Cd 11 Council Fee Subsidy Acct,6575.94,Special
2012,Non-Departmental - General City Purposes,869,Cd 12 Council Fee Subsidy Acct,312.00,Special
2012,Non-Departmental - General City Purposes,870,Cd 13 Council Fee Subsidy Acct,,Special
2012,Non-Departmental - General City Purposes,871,Cd 14 Council Fee Subsidy Acct,,Special
2012,Non-Departmental - General City Purposes,872,Cd 15 Council Fee Subsidy Acct,,Special
2012,Non-Departmental - General City Purposes,873,Green Retrofit And Workforce Program,,Special
2012,Non-Departmental - Human Resources Benefits,9100,Unemployment Insurance,6589559.48,Special
2012,Non-Departmental - Human Resources Benefits,3040,Contractual Services,11565938.25,Expenses
2012,Non-Departmental - Human Resources Benefits,9110,Employee Assistance Program,1267283.72,Special
2012,Non-Departmental - Human Resources Benefits,9330,Supplemental Civilian Union Benefits,4316000.00,Special
2012,Non-Departmental - Human Resources Benefits,9220,Police Health And Welfare Program,117732000.00,Special
2012,Non-Departmental - Human Resources Benefits,9210,Fire Health And Welfare Program,42977000.00,Special
2012,Non-Departmental - Human Resources Benefits,9910,Workers' Compensation/Rehabilitation,162002280.47,Special
2012,Non-Departmental - Human Resources Benefits,9200,Civilian Flex Program,199042000.00,Special
2012,Non-Departmental - Liability Claims,9770,"Liability Claims Over $100,000",41057457.81,Special
2012,Non-Departmental - Liability Claims,9760,"Liability Claims $100,000 And Under",7999998.02,Special
2012,Non-Departmental - Unappropriated Balance,165,Restoration Of Neighborhood Fire Services,,Special
2012,Non-Departmental - Unappropriated Balance,1,General,,Special
2012,Non-Departmental - Unappropriated Balance,37,Reserve For Economic Uncertainties,,Special
2012,Non-Departmental - Unappropriated Balance,130,Gsd - Petroleum Products,,Special
2012,Non-Departmental - Unappropriated Balance,132,"Equipment, Expenses, & Alterations & Improvement",,Special
2012,Non-Departmental - Unappropriated Balance,133,Neighborhood Council Funding,,Special
2012,Non-Departmental - Unappropriated Balance,147,Merchant Card Convenience Fee Program,,Special
2012,Non-Departmental - Unappropriated Balance,157,Redistricting Costs For Council And Lausd,,Special
2012,Non-Departmental - Unappropriated Balance,159,City Disaster Planning Study - Ada Compliance,,Special
2012,Non-Departmental - Unappropriated Balance,162,It Infrastructure Outsourcing,,Special
2012,Non-Departmental - Unappropriated Balance,163,Software License Claim,,Special
2012,Non-Departmental - Unappropriated Balance,164,Deferred Entry Of Judgment Program,,Special
2012,Non-Departmental - Unappropriated Balance,193,Gang Prevention/Intervent/Redu,,Special
2012,Non-Departmental - Unappropriated Balance,197,Outside Counsel Inc. Workers' Comp,,Special
2012,Non-Departmental - Unappropriated Balance,200,Water And Electricity,,Special
2012,Non-Departmental - Unappropriated Balance,219,Linx Replacement,,Special
2012,Non-Departmental - Unappropriated Balance,262,Budgetary Adjustments For Departments,,Special
2012,Non-Departmental - Water And Electricity,71,Recreation And Parks Water,,Special
2012,Non-Departmental - Water And Electricity,31,Sanitation Water,61822.61,Special
2012,Non-Departmental - Water And Electricity,32,Sanitation Electricity,531000.00,Special
2012,Non-Departmental - Water And Electricity,41,Street Services Water,829000.00,Special
2012,Non-Departmental - Water And Electricity,42,Street Services Electricity,725000.00,Special
2012,Non-Departmental - Water And Electricity,62,Library Electricity,2921896.50,Special
2012,Non-Departmental - Water And Electricity,61,Library Water,313000.00,Special
2012,Non-Departmental - Water And Electricity,21,General Services Water,2440916.96,Special
2012,Non-Departmental - Water And Electricity,22,General Services Electricity,23624987.50,Special
2012,Non-Departmental - Water And Electricity,23,Street Lighting General Benefit,1128000.00,Special
2012,Non-Departmental - Water And Electricity,92,Energy Conservation Payments,441408.79,Special
2012,Non-Departmental - Water And Electricity,83,Street Lighting Assessments,616932.08,Special
2012,Non-Departmental - Water And Electricity,72,Recreation And Parks Electricity,,Special
2012,Office Of Finance,1010,Salaries General,25767138.18,Salaries And Benefits
2012,Office Of Finance,2120,Printing And Binding,248401.31,Expenses
2012,Office Of Finance,2010,Advertising & Public Relations,,Expenses
2012,Office Of Finance,1090,Overtime General,611.52,Salaries And Benefits
2012,Office Of Finance,1070,Salaries As Needed,236527.82,Salaries And Benefits
2012,Office Of Finance,8140,Early Retirement Incentive Program Payout,,Special
2012,Office Of Finance,7300,"Furniture, Office And Technical Equipment",334241.20,Equipment
2012,Office Of Finance,6020,Operating Supplies,,Expenses
2012,Office Of Finance,6010,Office And Administrative,665269.52,Expenses
2012,Office Of Finance,4040,Bank Service Fees,13091521.98,Expenses
2012,Office Of Finance,3310,Transportation,330554.52,Expenses
2012,Office Of Finance,3040,Contractual Services,1023507.04,Expenses
2012,Office Of Finance,2130,Travel,28863.23,Expenses
2012,Personnel,3310,Transportation,72675.84,Expenses
2012,Personnel,1010,Salaries General,29904199.54,Salaries And Benefits
2012,Personnel,1070,Salaries As Needed,1890635.93,Salaries And Benefits
2012,Personnel,1090,Overtime General,144811.42,Salaries And Benefits
2012,Personnel,2120,Printing And Binding,290852.86,Expenses
2012,Personnel,2130,Travel,4642.61,Expenses
2012,Personnel,3040,Contractual Services,3039553.94,Expenses
2012,Personnel,3190,Medical Supplies,473619.33,Expenses
2012,Personnel,4260,Oral Board Expense,6228.54,Expenses
2012,Personnel,6010,Office And Administrative,1229110.72,Expenses
2012,Personnel,8140,Early Retirement Incentive Program Payout,,Special
2012,Personnel,9570,Training Expense,165693.44,Special
2012,Personnel,9580,Employee Service Pins,7196.52,Special
2012,Personnel,9600,Employee Transit Subsidy,1471324.32,Special
2012,Police,7340,Transportation Equipment,50164.15,Equipment
2012,Police,8140,Early Retirement Incentive Program Payout,,Special
2012,Police,1010,Salaries General,203658279.67,Salaries And Benefits
2012,Police,1012,Salaries Sworn,961274075.15,Salaries And Benefits
2012,Police,1070,Salaries As Needed,182250.00,Salaries And Benefits
2012,Police,1090,Overtime General,1892487.88,Salaries And Benefits
2012,Police,1092,Overtime Sworn,17431933.28,Salaries And Benefits
2012,Police,1095,Accumulated Overtime,3218395.50,Salaries And Benefits
2012,Police,2120,Printing And Binding,837389.61,Expenses
2012,Police,2130,Travel,598176.14,Expenses
2012,Police,3010,Firearms Ammunition Other Devi,2252134.98,Expenses
2012,Police,3040,Contractual Services,18173722.96,Expenses
2012,Police,3090,Field Equipment Expense,8279891.10,Expenses
2012,Police,3110,Institutional Supplies,1072003.38,Expenses
2012,Police,3290,Traffic And Signal,96333.94,Expenses
2012,Police,3310,Transportation,14688.90,Expenses
2012,Police,4310,Secret Service,840999.99,Expenses
2012,Police,4430,Uniforms,2353523.46,Expenses
2012,Police,4440,Reserve Officer Expense,166980.00,Expenses
2012,Police,6010,Office And Administrative,7573701.68,Expenses
2012,Police,6020,Operating Supplies,2462786.67,Expenses
2012,Police,7300,"Furniture, Office And Technical Equipment",272480.11,Equipment
2012,Public Works - Board Of Public Works,6020,Operating Supplies,229974.64,Expenses
2012,Public Works - Board Of Public Works,8780,St. Lighting Improvements And Supplies,46576.17,Special
2012,Public Works - Board Of Public Works,1010,Salaries General,7780556.73,Salaries And Benefits
2012,Public Works - Board Of Public Works,1090,Overtime General,50460.57,Salaries And Benefits
2012,Public Works - Board Of Public Works,2120,Printing And Binding,8581.42,Expenses
2012,Public Works - Board Of Public Works,3040,Contractual Services,11379402.03,Expenses
2012,Public Works - Board Of Public Works,3310,Transportation,1712.83,Expenses
2012,Public Works - Board Of Public Works,6010,Office And Administrative,97589.53,Expenses
2012,Public Works - Board Of Public Works,8140,Early Retirement Incentive Program Payout,,Special
2012,Public Works - Contract Administration,1010,Salaries General,25915445.75,Salaries And Benefits
2012,Public Works - Contract Administration,1090,Overtime General,556680.26,Salaries And Benefits
2012,Public Works - Contract Administration,2120,Printing And Binding,4474.42,Expenses
2012,Public Works - Contract Administration,3040,Contractual Services,121173.15,Expenses
2012,Public Works - Contract Administration,3310,Transportation,1342158.93,Expenses
2012,Public Works - Contract Administration,6010,Office And Administrative,165682.02,Expenses
2012,Public Works - Contract Administration,6020,Operating Supplies,16309.98,Expenses
2012,Public Works - Contract Administration,8140,Early Retirement Incentive Program Payout,,Special
2012,Public Works - Engineering,2130,Travel,1995.51,Expenses
2012,Public Works - Engineering,3030,Construction Expense,1438.22,Expenses
2012,Public Works - Engineering,3040,Contractual Services,696404.65,Expenses
2012,Public Works - Engineering,3090,Field Equipment Expense,41564.94,Expenses
2012,Public Works - Engineering,3310,Transportation,42516.12,Expenses
2012,Public Works - Engineering,6010,Office And Administrative,608439.65,Expenses
2012,Public Works - Engineering,6020,Operating Supplies,215343.38,Expenses
2012,Public Works - Engineering,8140,Early Retirement Incentive Program Payout,,Special
2012,Public Works - Engineering,1010,Salaries General,68501008.58,Salaries And Benefits
2012,Public Works - Engineering,1090,Overtime General,96658.16,Salaries And Benefits
2012,Public Works - Engineering,2120,Printing And Binding,15853.81,Expenses
2012,Public Works - Sanitation,3030,Construction Expense,48887.10,Expenses
2012,Public Works - Sanitation,3040,Contractual Services,3479751.27,Expenses
2012,Public Works - Sanitation,3090,Field Equipment Expense,223797.76,Expenses
2012,Public Works - Sanitation,3310,Transportation,178759.90,Expenses
2012,Public Works - Sanitation,6010,Office And Administrative,319801.61,Expenses
2012,Public Works - Sanitation,4430,Uniforms,185127.60,Expenses
2012,Public Works - Sanitation,6020,Operating Supplies,387988.72,Expenses
2012,Public Works - Sanitation,1010,Salaries General,181464756.53,Salaries And Benefits
2012,Public Works - Sanitation,1070,Salaries As Needed,3548403.27,Salaries And Benefits
2012,Public Works - Sanitation,1090,Overtime General,7983227.99,Salaries And Benefits
2012,Public Works - Sanitation,1100,Hiring Hall Salaries,449809.67,Salaries And Benefits
2012,Public Works - Sanitation,1120,Benefits Hiring Hall,155203.00,Salaries And Benefits
2012,Public Works - Sanitation,2120,Printing And Binding,86691.88,Expenses
2012,Public Works - Sanitation,2130,Travel,1115.37,Expenses
2012,Public Works - Sanitation,8140,Early Retirement Incentive Program Payout,,Special
2012,Public Works - Sanitation,7300,"Furniture, Office And Technical Equipment",11218.81,Equipment
2012,Public Works - Street Lighting,1010,Salaries General,15989210.30,Salaries And Benefits
2012,Public Works - Street Lighting,1090,Overtime General,934890.94,Salaries And Benefits
2012,Public Works - Street Lighting,1100,Hiring Hall Salaries,1144007.37,Salaries And Benefits
2012,Public Works - Street Lighting,1120,Benefits Hiring Hall,789500.00,Salaries And Benefits
2012,Public Works - Street Lighting,2120,Printing And Binding,6890.23,Expenses
2012,Public Works - Street Lighting,2130,Travel,10417.87,Expenses
2012,Public Works - Street Lighting,3040,Contractual Services,1024855.70,Expenses
2012,Public Works - Street Lighting,3090,Field Equipment Expense,7492.57,Expenses
2012,Public Works - Street Lighting,3310,Transportation,,Expenses
2012,Public Works - Street Lighting,6010,Office And Administrative,293370.71,Expenses
2012,Public Works - Street Lighting,6020,Operating Supplies,392041.74,Expenses
2012,Public Works - Street Lighting,7300,"Furniture, Office And Technical Equipment",123942.00,Equipment
2012,Public Works - Street Lighting,8140,Early Retirement Incentive Program Payout,,Special
2012,Public Works - Street Lighting,8780,St. Lighting Improvements And Supplies,4145438.75,Special
2012,Public Works - Street Services,6020,Operating Supplies,7937303.37,Expenses
2012,Public Works - Street Services,8140,Early Retirement Incentive Program Payout,,Special
2012,Public Works - Street Services,1010,Salaries General,71486559.98,Salaries And Benefits
2012,Public Works - Street Services,1090,Overtime General,4465584.74,Salaries And Benefits
2012,Public Works - Street Services,1100,Hiring Hall Salaries,351881.68,Salaries And Benefits
2012,Public Works - Street Services,1120,Benefits Hiring Hall,176300.00,Salaries And Benefits
2012,Public Works - Street Services,1190,Hiring Hall Overtime,4060.80,Salaries And Benefits
2012,Public Works - Street Services,2120,Printing And Binding,48943.28,Expenses
2012,Public Works - Street Services,2130,Travel,1695.24,Expenses
2012,Public Works - Street Services,3030,Construction Expense,60972119.70,Expenses
2012,Public Works - Street Services,3040,Contractual Services,13340462.10,Expenses
2012,Public Works - Street Services,3090,Field Equipment Expense,554067.29,Expenses
2012,Public Works - Street Services,3310,Transportation,498260.59,Expenses
2012,Public Works - Street Services,3330,Utilities Expense Private Company,540056.49,Expenses
2012,Public Works - Street Services,4430,Uniforms,25408.16,Expenses
2012,Public Works - Street Services,6010,Office And Administrative,542613.06,Expenses
2012,Transportation,3330,Utilities Expense Private Company,43415.65,Expenses
2012,Transportation,3120,Investigations,,Expenses
2012,Transportation,1010,Salaries General,96267765.07,Salaries And Benefits
2012,Transportation,1070,Salaries As Needed,7637961.12,Salaries And Benefits
2012,Transportation,1090,Overtime General,11472092.37,Salaries And Benefits
2012,Transportation,2120,Printing And Binding,133995.10,Expenses
2012,Transportation,2130,Travel,9398.89,Expenses
2012,Transportation,3040,Contractual Services,10536671.38,Expenses
2012,Transportation,3090,Field Equipment Expense,220004.16,Expenses
2012,Transportation,3030,Construction Expense,21118.99,Expenses
2012,Transportation,8140,Early Retirement Incentive Program Payout,,Special
2012,Transportation,7300,"Furniture, Office And Technical Equipment",,Equipment
2012,Transportation,6020,Operating Supplies,59447.65,Expenses
2012,Transportation,6010,Office And Administrative,385460.66,Expenses
2012,Transportation,4430,Uniforms,39070.00,Expenses
2012,Transportation,3360,Signal Supplies And Repairs,2911571.42,Expenses
2012,Transportation,3350,Paint And Sign Maintenance And,2865812.14,Expenses
2012,Transportation,3310,Transportation,163250.23,Expenses
2012,Treasurer,6010,Office And Administrative,,Expenses
2012,Treasurer,4040,Bank Service Fees,,Expenses
2012,Treasurer,3310,Transportation,,Expenses
2012,Treasurer,8140,Early Retirement Incentive Program Payout,,Special
2012,Treasurer,6020,Operating Supplies,,Expenses
2012,Treasurer,3040,Contractual Services,,Expenses
2012,Treasurer,2120,Printing And Binding,,Expenses
2012,Treasurer,1090,Overtime General,0.00,Salaries And Benefits
2012,Treasurer,1010,Salaries General,0.00,Salaries And Benefits
2012,Zoo,4580,Feed And Grain,738820.23,Expenses
2012,Zoo,6010,Office And Administrative,127385.73,Expenses
2012,Zoo,6020,Operating Supplies,105402.65,Expenses
2012,Zoo,8140,Early Retirement Incentive Program Payout,,Special
2012,Zoo,3090,Field Equipment Expense,14524.46,Expenses
2012,Zoo,1010,Salaries General,13190787.60,Salaries And Benefits
2012,Zoo,1070,Salaries As Needed,961778.04,Salaries And Benefits
2012,Zoo,1090,Overtime General,53941.07,Salaries And Benefits
2012,Zoo,2120,Printing And Binding,36924.88,Expenses
2012,Zoo,3040,Contractual Services,827130.09,Expenses
2012,Zoo,3160,"Maintenance Materials, Supplies & Services",489986.52,Expenses
2012,Zoo,4430,Uniforms,4931.73,Expenses
2012,Zoo,4570,Veterinary Supplies & Expense,279875.73,Expenses
